[SPHERE] radius = 0.0012714560254376561 | density = 0.13768858601176814 | surface_area = 2.0314800071126963e-05
[SPHERE] radius = 0.7348406728081064 | density = 0.7398754672050813 | surface_area = 6.785724702264287
[SPHERE] radius = 0.7415394171753841 | density = 0.3745111432797531 | surface_area = 6.91000476067287
[SPHERE] radius = 0.7427202941061682 | density = 0.5862704554433634 | surface_area = 6.932030190964818
[SPHERE] radius = 0.7460465250758453 | density = 0.39231260201099216 | surface_area = 6.994258635829791
[SPHERE] radius = 0.7537783626956664 | density = 0.24996997701494672 | surface_area = 7.1399833273176325
[SPHERE] radius = 0.7539110793138064 | density = 0.07963200294328188 | surface_area = 7.142497800824538
[SPHERE] radius = 0.7553613220528536 | density = 0.6328883722278982 | surface_area = 7.170003215344557
[SPHERE] radius = 0.7555921991547014 | density = 0.6294888374796863 | surface_area = 7.174386925498023
[SPHERE] radius = 0.7576182453370592 | density = 0.44501408171458223 | surface_area = 7.212913334852414
[SPHERE] radius = 0.7646697037126399 | density = 0.6639476234599259 | surface_area = 7.347805156618502
[SPHERE] radius = 0.7690615504992577 | density = 0.7460203577475266 | surface_area = 7.43245113178569
[SPHERE] radius = 0.779727557014268 | density = 0.0834335956799015 | surface_area = 7.640039968050462
[SPHERE] radius = 0.7847602650160262 | density = 0.7294981585243517 | surface_area = 7.73898267416596
[SPHERE] radius = 0.7853939813521433 | density = 0.7752204736668248 | surface_area = 7.7514866200292385
[SPHERE] radius = 0.7962021981964621 | density = 0.927973223521571 | surface_area = 7.96629910573177
[SPHERE] radius = 0.8036141222089493 | density = 0.28388412546847064 | surface_area = 8.115307572203783
[SPHERE] radius = 0.8117353700893206 | density = 0.5269910887257604 | surface_area = 8.280161435810287
[SPHERE] radius = 0.8226904110922898 | density = 0.1304149412046085 | surface_area = 8.505164833145123
[SPHERE] radius = 0.8243869597048962 | density = 0.5387959931851685 | surface_area = 8.540279631014364
[SPHERE] radius = 0.8272966716429306 | density = 0.49951234354321505 | surface_area = 8.600672647864792
[SPHERE] radius = 0.8279401901535829 | density = 0.6640655230509755 | surface_area = 8.614058038722115
[SPHERE] radius = 0.8306253238859496 | density = 0.3921856134365932 | surface_area = 8.670021995889519
[SPHERE] radius = 0.8324674876430314 | density = 0.6831276977772593 | surface_area = 8.708521451106478
[SPHERE] radius = 0.8338021919412809 | density = 0.3143598805085084 | surface_area = 8.736468774138725
[SPHERE] radius = 0.8389123590923866 | density = 0.2632948478489664 | surface_area = 8.84388423715621
[SPHERE] radius = 0.841419175633672 | density = 0.33186882614831936 | surface_area = 8.896817345035398
[SPHERE] radius = 0.8433107677150355 | density = 0.021665607538900233 | surface_area = 8.93686412910838
[SPHERE] radius = 0.8499342316162358 | density = 0.44163575802473354 | surface_area = 9.07779782442544
[SPHERE] radius = 0.8626402673745992 | density = 0.07818429696182083 | surface_area = 9.351242461460368
[SPHERE] radius = 0.8648063540814839 | density = 0.5468779892987081 | surface_area = 9.398263296514523
[SPHERE] radius = 0.8664787090801335 | density = 0.3351858480392038 | surface_area = 9.434647001264354
[SPHERE] radius = 0.8746031207843147 | density = 0.6975492442060194 | surface_area = 9.612401651188364
[SPHERE] radius = 0.8787277668983392 | density = 0.050541988744615574 | surface_area = 9.703280002711557
[SPHERE] radius = 0.8792009243859573 | density = 0.8042199503498949 | surface_area = 9.713732422307467
[SPHERE] radius = 0.8798139474709974 | density = 0.7969314394737278 | surface_area = 9.727282949893086
[SPHERE] radius = 0.8813399425988567 | density = 0.9703530670483549 | surface_area = 9.761055224928304
[SPHERE] radius = 0.8876013576261658 | density = 0.40190021109095375 | surface_area = 9.900241296368906
[SPHERE] radius = 0.8973939612928051 | density = 0.9987506013598234 | surface_area = 10.119898334540661
[SPHERE] radius = 0.9008197196021174 | density = 0.46266271626285516 | surface_area = 10.197310262056954
[SPHERE] radius = 0.9013756124878769 | density = 0.9439325801648952 | surface_area = 10.20989959851607
[SPHERE] radius = 0.9073357580138285 | density = 0.13782828349474352 | surface_area = 10.345367373166452
[SPHERE] radius = 0.9102454110680364 | density = 0.12719263688454785 | surface_area = 10.411825008690045
[SPHERE] radius = 0.9106269402968387 | density = 0.38236411922486957 | surface_area = 10.420555067718908
[SPHERE] radius = 0.9123830367250418 | density = 0.37498275137404147 | surface_area = 10.460784811728535
[SPHERE] radius = 0.9144076357992699 | density = 0.12679302666156633 | surface_area = 10.507261768492178
[SPHERE] radius = 0.92396914436361 | density = 0.9815990020795863 | surface_area = 10.728149099875436
[SPHERE] radius = 0.9310294739131512 | density = 0.24298507646969314 | surface_area = 10.892729618765324
[SPHERE] radius = 0.9338115611895105 | density = 0.7486382457119208 | surface_area = 10.95792584095487
[SPHERE] radius = 0.9354367030212459 | density = 0.30422213141414645 | surface_area = 10.9960998805298
[SPHERE] radius = 0.9361310183148158 | density = 0.9733529016394574 | surface_area = 11.012429352510132
[SPHERE] radius = 0.937853951439961 | density = 0.8430410174554559 | surface_area = 11.053003031438225
[SPHERE] radius = 0.9403075408572468 | density = 0.5807955239304643 | surface_area = 11.11091184748792
[SPHERE] radius = 0.9403901398204654 | density = 0.6628398718566898 | surface_area = 11.112863953725197
[SPHERE] radius = 0.9410214852357409 | density = 0.9001537515884962 | surface_area = 11.127790547654982
[SPHERE] radius = 0.9457871673169809 | density = 0.7263170305184213 | surface_area = 11.240786474913202
[SPHERE] radius = 0.9466690258637324 | density = 0.2031009477782757 | surface_area = 11.261758222769574
[SPHERE] radius = 0.9498236021173212 | density = 0.25424194371057884 | surface_area = 11.33693817625529
[SPHERE] radius = 0.9516420190586379 | density = 0.39474137925897257 | surface_area = 11.380388379330432
[SPHERE] radius = 0.9544491533869746 | density = 0.03889885071062393 | surface_area = 11.44762668006008
[SPHERE] radius = 0.9546456182535987 | density = 0.5040878925248536 | surface_area = 11.452339949310748
[SPHERE] radius = 0.9553385141901812 | density = 0.4952106781448331 | surface_area = 11.468970538579258
[SPHERE] radius = 0.9625019044861024 | density = 0.08881738277943896 | surface_area = 11.641610347024777
[SPHERE] radius = 0.9640810101232846 | density = 0.6538161314810841 | surface_area = 11.679840739142753
[SPHERE] radius = 0.9700953996206537 | density = 0.363153407120855 | surface_area = 11.826023949778017
[SPHERE] radius = 0.9731848508686676 | density = 0.6400405077855434 | surface_area = 11.90146828695639
[SPHERE] radius = 0.9803703356233998 | density = 0.8782437760012319 | surface_area = 12.077865459891973
[SPHERE] radius = 0.9852032514469937 | density = 0.10388418998028082 | surface_area = 12.19723909047919
[SPHERE] radius = 0.9865848490381514 | density = 0.7254897231393856 | surface_area = 12.23147261960471
[SPHERE] radius = 0.9878797930597825 | density = 0.4587998583294346 | surface_area = 12.263602582200097
[SPHERE] radius = 0.990577520874037 | density = 0.8248768840304227 | surface_area = 12.330673566254083
[SPHERE] radius = 0.9915432892950341 | density = 0.9788249199914936 | surface_area = 12.354728988572408
[SPHERE] radius = 0.9943742313221453 | density = 0.2671877818832551 | surface_area = 12.425377342462939
[SPHERE] radius = 0.995207965120394 | density = 0.06443030448677323 | surface_area = 12.44622221085776
[SPHERE] radius = 0.9958671325810908 | density = 0.3933108585424231 | surface_area = 12.462714968050363
[SPHERE] radius = 0.9968059177540078 | density = 0.029990450962925186 | surface_area = 12.486222775948555
[SPHERE] radius = 0.9978218982248143 | density = 0.1447616937532875 | surface_area = 12.511688562536053
[SPHERE] radius = 0.9999093675378452 | density = 0.0478768085111394 | surface_area = 12.564092875364139
